ML Model Name,Accuracy,AUC,Precision,Recall,F1,MCC
Logistic Regression,0.9824561403508771,0.9953703703703703,0.9824561403508771,0.9824561403508771,0.9824561403508771,0.9623015873015873
Decision Tree,0.9210526315789473,0.9163359788359788,0.9234172387490467,0.9210526315789473,0.9215739274819479,0.8341403959394523
K-Nearest Neighbors,0.956140350877193,0.9788359788359788,0.9560729421281235,0.956140350877193,0.9560273762928302,0.9054466190452621
Gaussian Naive Bayes,0.9298245614035088,0.9867724867724867,0.9298245614035088,0.9298245614035088,0.9298245614035088,0.8492063492063492
Random Forest,0.956140350877193,0.9930555555555556,0.9560729421281235,0.956140350877193,0.9560273762928302,0.9054466190452621
